Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
1,38,The Great Gatsby,F. Scott Fitzgerald,1925,American,English,47-180,47000,1,7569,"Drama, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","American dream, History, Identity, Illusion, Love, Wealth, class, loneliness, morality","Long Island, New York, United States"
2,122,Ulysses,James Joyce,1922,Irish,English,730-1000,265222,2,7359,"Experimental, Fiction, Literary Fiction, Modernist, Picaresque, Postmodern, Social & Cultural Fiction, philosophical","Alienation, Consciousness, Family, Friendship, Identity, Mortality, Sexuality, Time","Dublin, Ireland"
3,225,In Search of Lost Time,Marcel Proust,1913,French,French,3000-4300,1200000,3,7249,"Allegorical, Fiction, Literary Fiction, Modernist, Mythological, Postmodern, Social & Cultural Fiction, philosophical","Family, Friendship, Illness, Jealousy, Lgbtq+, Love, Memory, Society, Time, relationships, stream of consciousness","France, Paris"
4,266,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish,300-500,144000,4,6672,"Dark, Fiction, Literary Fiction, Magical Realism, Sagas, Social & Cultural Fiction","Family, Family dynamics, Fate, History, Memory, Power, Solitude, Time",Fictional Location
5,19,The Catcher in the Rye,J. D. Salinger,1951,American,English,220-277,73440,5,6614,"Coming of age, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Young adult","Adolescence, Alienation, Family, Identity, Innocence, Phoniness, depression, isolation, rebellion","New England, New York, New York City, Pennsylvania, United States"
6,64,Nineteen Eighty Four,George Orwell,1949,British,English,300-400,88942,6,6207,"Dystopian, Fiction, Political, Satire, Science fiction, Speculative Fiction","Control, Freedom, Identity, Language & Writing, Political Ideologies, Propaganda, fear, rebellion, surveillance","England, Fictional Location, Great Britain, London"
7,50,Lolita,Vladimir Nabokov,1955,American,English,300-400,112473,7,5968,"Absurdist, Allegorical, Banned books, Fiction, Literary Fiction, Postmodern, Psychological","Desire, Guilt, Identity, Innocence, Manipulation, Obsession, Power Dynamics, morality","Massachusetts, New Hampshire, United States"
8,52,The Lord of the Rings,J. R. R. Tolkien,1954,British,English,1000-1500,506325,8,5815,"Adventure, Fantasy, Fiction, High Fantasy, Historical fiction, Speculative Fiction, epic","Courage, Despair, Destiny, Friendship, Good vs Evil, Hope, Loyalty, Nature, Power, Sacrifice, corruption",Fictional Location
9,208,Moby-Dick,Herman Melville,1851,American,English,600-700,212000,9,5696,"Adventure, Fiction, Historical fiction, Literary Fiction, Sailors & The Sea, philosophical","Fate, Friendship, Identity, Madness, Mortality, Nature, Obsession, Revenge, isolation","Atlantic Ocean, Massachusetts, Nantucket, United States"
10,91,To Kill a Mockingbird,Harper Lee,1960,American,English,281-500,100388,10,5480,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Courage, Empathy, Family, Justice, Moral Growth, Prejudice, Racism, Social Inequality, childhood","Alabama, Maycomb, Southern US, United States"
11,213,Anna Karenina,Leo Tolstoy,1877,Russian,Russian,800-1000,349000,11,5438,"Drama, Family & Relationships, Fiction, Historical fiction, Literary Fiction, Tragedy, philosophical","Family, Family dynamics, Identity, Infidelity, Love, Marriage, Society, Sociology, morality","Moscow, Russia, Saint Petersburg"
